Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,1,31,338,1,1,337,7,710,1.949e-11,0.0014,0.0014,0.026893999999999998,0.2877826,0.0014,0.0014,0.2869328,1.74e-05,1.437e-02,2.193e-09
1,138,1,1,45,523,1,7,710,1.949e-11,0.0014,0.11782260000000001,0.0014,0.0014,0.0387912,0.4449956,0.0014,1.74e-05,1.310e-02,2.238e-09
1,470,220,1,1,1,16,7,710,1.949e-11,0.0014,0.3999562,0.1875062,0.0014,0.0014,0.0014,0.014147,1.74e-05,1.502e-02,2.121e-09
362,1,315,1,29,1,1,7,710,1.949e-11,0.3081778,0.0014,0.26823719999999995,0.0014,0.0251944,0.0014,0.0014,1.74e-05,1.502e-02,2.075e-09
124,1,1,1,40,542,1,7,710,1.949e-11,0.10592540000000002,0.0014,0.0014,0.0014,0.0345422,0.4611418,0.0014,1.74e-05,1.296e-02,2.244e-09
1,1,1,1,514,134,58,7,710,1.949e-11,0.0014,0.0014,0.0014,0.0014,0.4373474,0.11442340000000001,0.049838600000000004,1.74e-05,1.468e-02,2.249e-09
1,1,551,1,55,100,1,7,710,1.949e-11,0.0014,0.0014,0.46879,0.0014,0.0472892,0.08553020000000001,0.0014,1.74e-05,1.441e-02,2.203e-09
1,1,2,1,1,423,281,7,710,1.949e-11,0.0014,0.0014,0.0022498,0.0014,0.0014,0.36001559999999994,0.239344,1.74e-05,1.501e-02,2.269e-09
111,1,1,25,570,1,1,7,710,1.949e-11,0.094878,0.0014,0.0014,0.021795199999999997,0.4849362,0.0014,0.0014,1.74e-05,1.298e-02,2.237e-09
56,1,1,1,1,481,169,7,710,1.949e-11,0.048138999999999994,0.0014,0.0014,0.0014,0.0014,0.409304,0.1441664,1.74e-05,1.443e-02,2.244e-09
1,1,310,1,15,381,1,7,710,1.949e-11,0.0014,0.0014,0.26398819999999995,0.0014,0.0132972,0.32432399999999995,0.0014,1.74e-05,1.409e-02,2.183e-09
1,610,49,1,1,47,1,7,710,1.949e-11,0.0014,0.5189282,0.042190399999999996,0.0014,0.0014,0.0404908,0.0014,1.74e-05,1.376e-02,2.202e-09
319,1,1,13,374,1,1,7,710,1.949e-11,0.2716364,0.0014,0.0014,0.0115976,0.3183754,0.0014,0.0014,1.74e-05,1.398e-02,2.120e-09
18,421,1,267,1,1,1,7,710,1.949e-11,0.015846600000000002,0.35831599999999997,0.0014,0.2274468,0.0014,0.0014,0.0014,1.74e-05,1.494e-02,2.117e-09
523,6,1,1,1,1,177,7,710,1.949e-11,0.4449956,0.0056489999999999995,0.0014,0.0014,0.0014,0.0014,0.1509648,1.74e-05,1.442e-02,2.139e-09
611,12,1,83,1,1,1,7,710,1.949e-11,0.5197780000000001,0.0107478,0.0014,0.07108360000000001,0.0014,0.0014,0.0014,1.74e-05,1.379e-02,2.156e-09
298,1,1,27,381,1,1,7,710,1.949e-11,0.25379060000000003,0.0014,0.0014,0.0234948,0.32432399999999995,0.0014,0.0014,1.74e-05,1.390e-02,2.118e-09
1,429,1,41,1,236,1,7,710,1.949e-11,0.0014,0.3651144,0.0014,0.035392,0.0014,0.201103,0.0014,1.74e-05,1.479e-02,2.137e-09
