Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,78,11,1,59,4,6,7,160,1.949e-11,0.0014,0.06683460000000001,0.009898,0.0014,0.0506884,0.0039494,0.0056489999999999995,1.74e-05,4.979e-03,6.030e-09
1,8,55,87,6,2,1,7,160,1.949e-11,0.0014,0.007348599999999999,0.0472892,0.07448280000000002,0.0056489999999999995,0.0022498,0.0014,1.74e-05,4.977e-03,5.989e-09
74,4,1,52,6,22,1,7,160,1.949e-11,0.0634354,0.0039494,0.0014,0.044739799999999996,0.0056489999999999995,0.0192458,0.0014,1.74e-05,4.980e-03,5.954e-09
9,1,43,4,1,90,12,7,160,1.949e-11,0.0081984,0.0014,0.0370916,0.0039494,0.0014,0.07703220000000001,0.0107478,1.74e-05,4.959e-03,6.083e-09
49,1,22,46,2,1,39,7,160,1.949e-11,0.042190399999999996,0.0014,0.0192458,0.039640999999999996,0.0022498,0.0014,0.0336924,1.74e-05,4.960e-03,6.001e-09
43,7,1,98,8,1,2,7,160,1.949e-11,0.0370916,0.006498799999999999,0.0014,0.0838306,0.007348599999999999,0.0014,0.0022498,1.74e-05,4.954e-03,6.033e-09
2,74,18,24,1,1,40,7,160,1.949e-11,0.0022498,0.0634354,0.015846600000000002,0.0209454,0.0014,0.0014,0.0345422,1.74e-05,4.959e-03,6.036e-09
26,1,3,55,12,1,62,7,160,1.949e-11,0.022645,0.0014,0.0030995999999999997,0.0472892,0.0107478,0.0014,0.0532378,1.74e-05,4.961e-03,6.082e-09
1,10,64,2,73,1,9,7,160,1.949e-11,0.0014,0.0090482,0.0549374,0.0022498,0.0625856,0.0014,0.0081984,1.74e-05,4.979e-03,6.068e-09
1,82,1,31,28,1,16,7,160,1.949e-11,0.0014,0.0702338,0.0014,0.026893999999999998,0.0243446,0.0014,0.014147,1.74e-05,4.979e-03,6.038e-09
6,46,1,103,1,2,1,7,160,1.949e-11,0.0056489999999999995,0.039640999999999996,0.0014,0.08807960000000001,0.0014,0.0022498,0.0014,1.74e-05,4.948e-03,6.015e-09
1,10,28,1,57,60,3,7,160,1.949e-11,0.0014,0.0090482,0.0243446,0.0014,0.0489888,0.0515382,0.0030995999999999997,1.74e-05,4.990e-03,6.094e-09
46,1,1,20,81,3,8,7,160,1.949e-11,0.039640999999999996,0.0014,0.0014,0.017546199999999998,0.069384,0.0030995999999999997,0.007348599999999999,1.74e-05,4.963e-03,6.038e-09
1,1,37,19,1,60,41,7,160,1.949e-11,0.0014,0.0014,0.0319928,0.0166964,0.0014,0.0515382,0.035392,1.74e-05,4.995e-03,6.087e-09
33,20,1,1,93,1,11,7,160,1.949e-11,0.0285936,0.017546199999999998,0.0014,0.0014,0.07958160000000002,0.0014,0.009898,1.74e-05,4.952e-03,6.027e-09
1,26,29,68,1,1,34,7,160,1.949e-11,0.0014,0.022645,0.0251944,0.058336599999999995,0.0014,0.0014,0.029443399999999998,1.74e-05,4.977e-03,6.028e-09
1,27,89,33,1,4,5,7,160,1.949e-11,0.0014,0.0234948,0.0761824,0.0285936,0.0014,0.0039494,0.0047992,1.74e-05,4.984e-03,6.033e-09
1,13,37,2,43,1,63,7,160,1.949e-11,0.0014,0.0115976,0.0319928,0.0022498,0.0370916,0.0014,0.0540876,1.74e-05,4.969e-03,6.095e-09
11,1,25,1,2,67,53,7,160,1.949e-11,0.009898,0.0014,0.021795199999999997,0.0014,0.0022498,0.0574868,0.0455896,1.74e-05,4.988e-03,6.108e-09
1,11,1,125,4,16,2,7,160,1.949e-11,0.0014,0.009898,0.0014,0.10677520000000001,0.0039494,0.014147,0.0022498,1.74e-05,4.947e-03,6.089e-09
1,84,5,13,52,1,4,7,160,1.949e-11,0.0014,0.07193340000000001,0.0047992,0.0115976,0.044739799999999996,0.0014,0.0039494,1.74e-05,4.981e-03,5.999e-09
59,36,1,26,2,1,35,7,160,1.949e-11,0.0506884,0.031142999999999997,0.0014,0.022645,0.0022498,0.0014,0.0302932,1.74e-05,4.949e-03,6.012e-09
28,1,2,15,1,46,67,7,160,1.949e-11,0.0243446,0.0014,0.0022498,0.0132972,0.0014,0.039640999999999996,0.0574868,1.74e-05,4.968e-03,6.106e-09
2,24,16,68,48,1,1,7,160,1.949e-11,0.0022498,0.0209454,0.014147,0.058336599999999995,0.041340600000000005,0.0014,0.0014,1.74e-05,4.998e-03,6.044e-09
17,1,1,44,73,4,20,7,160,1.949e-11,0.014996800000000001,0.0014,0.0014,0.0379414,0.0625856,0.0039494,0.017546199999999998,1.74e-05,4.991e-03,6.045e-09
1,65,2,29,1,36,26,7,160,1.949e-11,0.0014,0.0557872,0.0022498,0.0251944,0.0014,0.031142999999999997,0.022645,1.74e-05,4.984e-03,6.057e-09
49,12,1,2,74,1,21,7,160,1.949e-11,0.042190399999999996,0.0107478,0.0014,0.0022498,0.0634354,0.0014,0.018396,1.74e-05,4.970e-03,6.015e-09
1,43,22,1,11,80,2,7,160,1.949e-11,0.0014,0.0370916,0.0192458,0.0014,0.009898,0.06853420000000002,0.0022498,1.74e-05,4.954e-03,6.067e-09
4,1,4,6,53,91,1,7,160,1.949e-11,0.0039494,0.0014,0.0039494,0.0056489999999999995,0.0455896,0.077882,0.0014,1.74e-05,4.968e-03,6.112e-09
1,78,1,27,35,14,4,7,160,1.949e-11,0.0014,0.06683460000000001,0.0014,0.0234948,0.0302932,0.0124474,0.0039494,1.74e-05,4.993e-03,6.039e-09
1,19,1,1,29,41,68,7,160,1.949e-11,0.0014,0.0166964,0.0014,0.0014,0.0251944,0.035392,0.058336599999999995,1.74e-05,4.980e-03,6.109e-09
4,52,1,3,13,1,86,7,160,1.949e-11,0.0039494,0.044739799999999996,0.0014,0.0030995999999999997,0.0115976,0.0014,0.07363300000000002,1.74e-05,4.940e-03,6.076e-09
35,15,76,1,1,4,28,7,160,1.949e-11,0.0302932,0.0132972,0.06513500000000001,0.0014,0.0014,0.0039494,0.0243446,1.74e-05,4.961e-03,6.030e-09
1,10,3,44,91,1,10,7,160,1.949e-11,0.0014,0.0090482,0.0030995999999999997,0.0379414,0.077882,0.0014,0.0090482,1.74e-05,4.971e-03,6.069e-09
20,51,71,1,2,14,1,7,160,1.949e-11,0.017546199999999998,0.04389,0.060885999999999996,0.0014,0.0022498,0.0124474,0.0014,1.74e-05,4.979e-03,6.008e-09
18,64,1,58,15,1,3,7,160,1.949e-11,0.015846600000000002,0.0549374,0.0014,0.049838600000000004,0.0132972,0.0014,0.0030995999999999997,1.74e-05,4.984e-03,6.019e-09
85,15,49,1,6,1,3,7,160,1.949e-11,0.0727832,0.0132972,0.042190399999999996,0.0014,0.0056489999999999995,0.0014,0.0030995999999999997,1.74e-05,4.961e-03,5.978e-09
1,88,4,1,6,23,37,7,160,1.949e-11,0.0014,0.0753326,0.0039494,0.0014,0.0056489999999999995,0.020095599999999998,0.0319928,1.74e-05,4.966e-03,6.049e-09
