Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
106,53,41,3,200,1e-12,0.090629,0.0455896,0.035392,6.800000000000001e-07,1.791e-03,7.255e-10
58,58,84,3,200,1e-12,0.049838600000000004,0.049838600000000004,0.07193340000000001,6.800000000000001e-07,1.674e-03,7.184e-10
22,102,76,3,200,1e-12,0.0192458,0.08722980000000001,0.06513500000000001,6.800000000000001e-07,1.691e-03,7.409e-10
44,72,84,3,200,1e-12,0.0379414,0.0617358,0.07193340000000001,6.800000000000001e-07,1.643e-03,7.237e-10
7,79,114,3,200,1e-12,0.006498799999999999,0.0676844,0.09742740000000001,6.800000000000001e-07,1.691e-03,7.543e-10
93,67,40,3,200,1e-12,0.07958160000000002,0.0574868,0.0345422,6.800000000000001e-07,1.769e-03,7.231e-10
131,50,19,3,200,1e-12,0.11187400000000002,0.0430402,0.0166964,6.800000000000001e-07,1.817e-03,7.315e-10
33,93,74,3,200,1e-12,0.0285936,0.07958160000000002,0.0634354,6.800000000000001e-07,1.660e-03,7.328e-10
79,37,84,3,200,1e-12,0.0676844,0.0319928,0.07193340000000001,6.800000000000001e-07,1.714e-03,7.190e-10
68,131,1,3,200,1e-12,0.058336599999999995,0.11187400000000002,0.0014,6.800000000000001e-07,1.682e-03,7.267e-10
80,65,55,3,200,1e-12,0.06853420000000002,0.0557872,0.0472892,6.800000000000001e-07,1.743e-03,7.171e-10
30,165,5,3,200,1e-12,0.0260442,0.1407672,0.0047992,6.800000000000001e-07,1.660e-03,7.471e-10
78,21,101,3,200,1e-12,0.06683460000000001,0.018396,0.08638000000000001,6.800000000000001e-07,1.654e-03,7.274e-10
8,149,43,3,200,1e-12,0.007348599999999999,0.12717040000000002,0.0370916,6.800000000000001e-07,1.781e-03,7.644e-10
64,114,22,3,200,1e-12,0.0549374,0.09742740000000001,0.0192458,6.800000000000001e-07,1.690e-03,7.259e-10
29,37,134,3,200,1e-12,0.0251944,0.0319928,0.11442340000000001,6.800000000000001e-07,1.562e-03,7.399e-10
132,38,30,3,200,1e-12,0.11272380000000001,0.0328426,0.0260442,6.800000000000001e-07,1.810e-03,7.321e-10
122,20,58,3,200,1e-12,0.10422580000000001,0.017546199999999998,0.049838600000000004,6.800000000000001e-07,1.761e-03,7.256e-10
80,84,36,3,200,1e-12,0.06853420000000002,0.07193340000000001,0.031142999999999997,6.800000000000001e-07,1.739e-03,7.224e-10
58,98,44,3,200,1e-12,0.049838600000000004,0.0838306,0.0379414,6.800000000000001e-07,1.688e-03,7.246e-10
90,59,51,3,200,1e-12,0.07703220000000001,0.0506884,0.04389,6.800000000000001e-07,1.763e-03,7.180e-10
14,18,168,3,200,1e-12,0.0124474,0.015846600000000002,0.1433166,6.800000000000001e-07,1.587e-03,7.736e-10
14,127,59,3,200,1e-12,0.0124474,0.10847480000000001,0.0506884,6.800000000000001e-07,1.743e-03,7.506e-10
21,89,90,3,200,1e-12,0.018396,0.0761824,0.07703220000000001,6.800000000000001e-07,1.672e-03,7.362e-10
93,59,48,3,200,1e-12,0.07958160000000002,0.0506884,0.041340600000000005,6.800000000000001e-07,1.769e-03,7.204e-10
161,20,19,3,200,1e-12,0.137368,0.017546199999999998,0.0166964,6.800000000000001e-07,1.794e-03,7.362e-10
69,38,93,3,200,1e-12,0.0591864,0.0328426,0.07958160000000002,6.800000000000001e-07,1.680e-03,7.244e-10
198,1,1,3,200,1e-12,0.1688106,0.0014,0.0014,6.800000000000001e-07,1.734e-03,7.549e-10
82,93,25,3,200,1e-12,0.0702338,0.07958160000000002,0.021795199999999997,6.800000000000001e-07,1.737e-03,7.219e-10
49,111,40,3,200,1e-12,0.042190399999999996,0.094878,0.0345422,6.800000000000001e-07,1.668e-03,7.256e-10
50,103,47,3,200,1e-12,0.0430402,0.08807960000000001,0.0404908,6.800000000000001e-07,1.671e-03,7.250e-10
3,152,45,3,200,1e-12,0.0030995999999999997,0.1297198,0.0387912,6.800000000000001e-07,1.813e-03,7.720e-10
