Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
57,145,1,295,1,1,6,500,2.7829999999999998e-12,0.0489888,0.12377120000000001,0.0014,0.2512412,0.0014,0.0014,3.0399999999999997e-06,3.557e-03,8.634e-10
1,271,32,1,1,194,6,500,2.7829999999999998e-12,0.0014,0.230846,0.027743800000000002,0.0014,0.0014,0.16541140000000001,3.0399999999999997e-06,3.937e-03,9.112e-10
1,1,73,94,330,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0625856,0.08043140000000001,0.2809842,0.0014,3.0399999999999997e-06,3.445e-03,9.314e-10
245,1,1,75,1,177,6,500,2.7829999999999998e-12,0.20875120000000003,0.0014,0.0014,0.0642852,0.0014,0.1509648,3.0399999999999997e-06,3.914e-03,8.740e-10
167,93,237,1,1,1,6,500,2.7829999999999998e-12,0.1424668,0.07958160000000002,0.2019528,0.0014,0.0014,0.0014,3.0399999999999997e-06,4.042e-03,8.382e-10
1,274,78,1,1,145,6,500,2.7829999999999998e-12,0.0014,0.2333954,0.06683460000000001,0.0014,0.0014,0.12377120000000001,3.0399999999999997e-06,4.198e-03,9.057e-10
1,191,1,1,2,304,6,500,2.7829999999999998e-12,0.0014,0.162862,0.0014,0.0014,0.0022498,0.2588894,3.0399999999999997e-06,3.482e-03,9.204e-10
1,17,1,1,88,392,6,500,2.7829999999999998e-12,0.0014,0.014996800000000001,0.0014,0.0014,0.0753326,0.33367179999999996,3.0399999999999997e-06,3.323e-03,1.011e-09
35,74,1,1,388,1,6,500,2.7829999999999998e-12,0.0302932,0.0634354,0.0014,0.0014,0.33027259999999997,0.0014,3.0399999999999997e-06,3.019e-03,9.231e-10
117,205,1,1,1,175,6,500,2.7829999999999998e-12,0.09997680000000002,0.1747592,0.0014,0.0014,0.0014,0.1492652,3.0399999999999997e-06,3.869e-03,8.519e-10
1,155,312,30,1,1,6,500,2.7829999999999998e-12,0.0014,0.1322692,0.2656878,0.0260442,0.0014,0.0014,3.0399999999999997e-06,3.747e-03,8.939e-10
307,1,115,1,1,75,6,500,2.7829999999999998e-12,0.26143879999999997,0.0014,0.09827720000000001,0.0014,0.0014,0.0642852,3.0399999999999997e-06,4.148e-03,8.810e-10
