Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
125,1,22,1,779,1,1,7,930,2.1999999999999998e-11,0.10677520000000001,0.0014,0.0192458,0.0014,0.6625444,0.0014,0.0014,2.3709999999999998e-05,1.422e-02,2.198e-09
645,1,1,1,264,1,17,7,930,2.1999999999999998e-11,0.5486712,0.0014,0.0014,0.0014,0.2248974,0.0014,0.014996800000000001,2.3709999999999998e-05,1.713e-02,2.044e-09
1,113,1,1,34,1,779,7,930,2.1999999999999998e-11,0.0014,0.0965776,0.0014,0.0014,0.029443399999999998,0.0014,0.6625444,2.3709999999999998e-05,1.425e-02,2.267e-09
14,1,1,1,1,621,291,7,930,2.1999999999999998e-11,0.0124474,0.0014,0.0014,0.0014,0.0014,0.528276,0.247842,2.3709999999999998e-05,1.710e-02,2.185e-09
1,181,35,1,1,1,710,7,930,2.1999999999999998e-11,0.0014,0.154364,0.0302932,0.0014,0.0014,0.0014,0.6039082,2.3709999999999998e-05,1.416e-02,2.198e-09
470,1,1,433,1,23,1,7,930,2.1999999999999998e-11,0.3999562,0.0014,0.0014,0.3685136,0.0014,0.020095599999999998,0.0014,2.3709999999999998e-05,1.690e-02,2.013e-09
1,1,1,1,306,592,28,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0014,0.260589,0.5036318,0.0243446,2.3709999999999998e-05,1.607e-02,2.157e-09
1,1,156,754,16,1,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.13311900000000002,0.6412994,0.014147,0.0014,0.0014,2.3709999999999998e-05,1.486e-02,2.169e-09
91,43,1,1,1,792,1,7,930,2.1999999999999998e-11,0.077882,0.0370916,0.0014,0.0014,0.0014,0.6735918,0.0014,2.3709999999999998e-05,1.416e-02,2.244e-09
43,140,1,1,1,743,1,7,930,2.1999999999999998e-11,0.0370916,0.11952220000000001,0.0014,0.0014,0.0014,0.6319516,0.0014,2.3709999999999998e-05,1.412e-02,2.193e-09
