Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
21,27,14,25,2,56,6,145,2.783e-12,0.018396,0.0234948,0.0124474,0.021795199999999997,0.0022498,0.048138999999999994,3.04e-6,2.722e-03,1.463e-09
13,7,39,14,22,50,6,145,2.783e-12,0.0115976,0.006498799999999999,0.0336924,0.0124474,0.0192458,0.0430402,3.04e-6,2.788e-03,1.465e-09
47,35,17,20,25,1,6,145,2.783e-12,0.0404908,0.0302932,0.014996800000000001,0.017546199999999998,0.021795199999999997,0.0014,3.04e-6,2.987e-03,1.445e-09
1,33,5,19,2,85,6,145,2.783e-12,0.0014,0.0285936,0.0047992,0.0166964,0.0022498,0.0727832,3.04e-6,2.970e-03,1.478e-09
2,40,39,1,42,21,6,145,2.783e-12,0.0022498,0.0345422,0.0336924,0.0014,0.0362418,0.018396,3.04e-6,2.929e-03,1.472e-09
7,10,43,41,6,38,6,145,2.783e-12,0.006498799999999999,0.0090482,0.0370916,0.035392,0.0056489999999999995,0.0328426,3.04e-6,2.872e-03,1.468e-09
14,32,11,76,3,9,6,145,2.783e-12,0.0124474,0.027743800000000002,0.009898,0.06513500000000001,0.0030995999999999997,0.0081984,3.04e-6,2.985e-03,1.479e-09
30,28,26,22,35,4,6,145,2.783e-12,0.0260442,0.0243446,0.022645,0.0192458,0.0302932,0.0039494,3.04e-6,2.940e-03,1.451e-09
8,87,20,14,9,7,6,145,2.783e-12,0.007348599999999999,0.07448280000000002,0.017546199999999998,0.0124474,0.0081984,0.006498799999999999,3.04e-6,3.069e-03,1.470e-09
8,33,9,24,63,8,6,145,2.783e-12,0.007348599999999999,0.0285936,0.0081984,0.0209454,0.0540876,0.007348599999999999,3.04e-6,2.904e-03,1.472e-09
54,19,18,20,13,21,6,145,2.783e-12,0.0464394,0.0166964,0.015846600000000002,0.017546199999999998,0.0115976,0.018396,3.04e-6,2.821e-03,1.452e-09
14,68,11,7,32,13,6,145,2.783e-12,0.0124474,0.058336599999999995,0.009898,0.006498799999999999,0.027743800000000002,0.0115976,3.04e-6,2.925e-03,1.451e-09
3,17,1,2,112,10,6,145,2.783e-12,0.0030995999999999997,0.014996800000000001,0.0014,0.0022498,0.0957278,0.0090482,3.04e-6,3.048e-03,1.501e-09
32,22,2,25,14,50,6,145,2.783e-12,0.027743800000000002,0.0192458,0.0022498,0.021795199999999997,0.0124474,0.0430402,3.04e-6,2.730e-03,1.455e-09
49,20,13,46,2,15,6,145,2.783e-12,0.042190399999999996,0.017546199999999998,0.0115976,0.039640999999999996,0.0022498,0.0132972,3.04e-6,2.882e-03,1.457e-09
7,4,65,7,22,40,6,145,2.783e-12,0.006498799999999999,0.0039494,0.0557872,0.006498799999999999,0.0192458,0.0345422,3.04e-6,2.888e-03,1.477e-09
16,7,32,10,4,76,6,145,2.783e-12,0.014147,0.006498799999999999,0.027743800000000002,0.0090482,0.0039494,0.06513500000000001,3.04e-6,2.686e-03,1.476e-09
26,39,10,29,19,22,6,145,2.783e-12,0.022645,0.0336924,0.0090482,0.0251944,0.0166964,0.0192458,3.04e-6,2.849e-03,1.455e-09
31,12,26,45,22,9,6,145,2.783e-12,0.026893999999999998,0.0107478,0.022645,0.0387912,0.0192458,0.0081984,3.04e-6,2.945e-03,1.462e-09
35,6,32,1,7,64,6,145,2.783e-12,0.0302932,0.0056489999999999995,0.027743800000000002,0.0014,0.006498799999999999,0.0549374,3.04e-6,2.760e-03,1.464e-09
10,51,1,27,54,2,6,145,2.783e-12,0.0090482,0.04389,0.0014,0.0234948,0.0464394,0.0022498,3.04e-6,2.936e-03,1.469e-09
1,8,16,109,1,10,6,145,2.783e-12,0.0014,0.007348599999999999,0.014147,0.09317840000000001,0.0014,0.0090482,3.04e-6,2.997e-03,1.501e-09
8,18,17,14,63,25,6,145,2.783e-12,0.007348599999999999,0.015846600000000002,0.014996800000000001,0.0124474,0.0540876,0.021795199999999997,3.04e-6,2.875e-03,1.469e-09
60,38,8,1,2,36,6,145,2.783e-12,0.0515382,0.0328426,0.007348599999999999,0.0014,0.0022498,0.031142999999999997,3.04e-6,2.808e-03,1.438e-09
4,12,42,21,8,58,6,145,2.783e-12,0.0039494,0.0107478,0.0362418,0.018396,0.007348599999999999,0.049838600000000004,3.04e-6,2.778e-03,1.477e-09
47,6,54,5,10,23,6,145,2.783e-12,0.0404908,0.0056489999999999995,0.0464394,0.0047992,0.0090482,0.020095599999999998,3.04e-6,2.866e-03,1.463e-09
10,87,1,37,2,8,6,145,2.783e-12,0.0090482,0.07448280000000002,0.0014,0.0319928,0.0022498,0.007348599999999999,3.04e-6,3.071e-03,1.474e-09
35,7,23,39,5,36,6,145,2.783e-12,0.0302932,0.006498799999999999,0.020095599999999998,0.0336924,0.0047992,0.031142999999999997,3.04e-6,2.801e-03,1.459e-09
